cdate,treatment,revenue_total,revenue_outerwear,revenue_shoes,revenue_pants,dau
2022-01-01,0,515814.7577928733,220334.56683978284,162175.7512962325,133304.43965685798,100248
2022-01-02,0,515228.4720403318,220091.52524650877,165866.8868418846,129270.05995193849,99949
2022-01-03,0,516414.4647029311,216796.0981613111,169626.69716532624,129991.6693762938,100360
2022-01-04,0,516826.38011147024,223573.37914454617,163554.75611873233,129698.24484819174,100816
2022-01-05,0,515471.875206277,220747.8944196602,165388.0273762827,129335.95341033404,99955
2022-01-06,0,518620.6563748655,222125.09058501868,163732.14121096872,132763.4245788781,99974
2022-01-07,0,509589.29718097055,216222.6615598969,167314.34503122288,126052.29058985076,100899
2022-01-08,0,524497.5662691906,225451.96257431444,165937.80067468516,133107.80302019106,100511
2022-01-09,0,514064.2386264339,219830.0035164354,163733.93018254385,130500.30492745465,99910
2022-01-10,0,518242.2682233493,223411.4366568877,166799.00677249054,128031.82479397109,100435
2022-01-11,0,514609.20773220644,218181.0559697609,168723.27089940396,127704.88086304163,99950
2022-01-12,0,519548.79945235234,221554.11091902552,164775.52881560253,133219.15971772434,99966
2022-01-13,0,514588.33532608463,219001.31571616873,167173.55822694377,128413.46138297215,100338
2022-01-14,0,506069.7247619153,217776.07110096043,161576.14159360554,126717.51206734928,99278
2022-01-15,0,516972.41612696706,223111.00238965405,162436.39416227854,131425.0195750345,99390
2022-01-16,0,516883.96832550527,220134.7640921792,166211.08815435044,130538.11607897561,99989
2022-01-17,0,516238.39759955567,220570.03251846606,167940.94067164444,127727.42440944513,99781
2022-01-18,0,520841.6057804814,223272.17893774202,166723.78774105522,130845.63910168417,100462
2022-01-19,0,513528.573579298,221372.11298942598,164515.21192777817,127641.24866209386,99869
2022-01-20,0,516656.11535924,220246.11205140498,164805.58739027215,131604.41591756287,99634
2022-01-21,0,521394.59263965907,223621.53087541866,164508.27050295268,133264.79126128778,101090
2022-01-22,0,524270.5705886431,226074.57463969217,166992.59799975,131203.39794920094,100261
2022-01-23,0,520378.24769129464,221514.43087014195,167812.11004596527,131051.70677518741,100425
2022-01-24,0,517638.62844846124,220605.57243790984,164066.03027257015,132967.02573798125,99695
2022-01-25,0,517970.19538203976,223252.16045598476,164733.27937924454,129984.75554681045,100152
2022-01-26,0,518848.6362380155,224083.1429102631,166738.6539010389,128026.8394267135,100496
2022-01-27,0,518026.2263648873,223051.14378890902,164429.8681131566,130545.21446282174,99882
2022-01-28,0,524647.8201728149,223545.2792737915,166356.82425874105,134745.71664028228,100661
2022-01-29,0,517038.30031611875,219070.27901616192,169997.6821490531,127970.33915090375,100189
2022-01-30,0,520045.19670614635,224995.34719821584,165576.19889200586,129473.65061592463,100359
2022-01-31,0,515207.11612734804,219189.70492122957,165161.9398530645,130855.4713530539,100220
2022-02-01,0,522469.30616797693,224605.28557869414,166464.76009309368,131399.26049618915,101463
2022-02-02,0,517008.4252821142,220686.78042876915,167887.8004644422,128433.84438890281,100545
2022-02-03,0,518403.7902874558,221084.0627175323,165292.88589274377,132026.84167717965,100038
2022-02-04,0,525178.2766032206,223810.55266814877,165805.34645773136,135562.37747734052,100993
2022-02-05,0,520163.8257529075,221812.10331825426,168252.2951956086,130099.42723904461,99986
2022-02-06,0,521831.4721793241,223503.25558371455,169559.81981081745,128768.39678479209,100716
2022-02-07,0,513895.1234509427,223776.5175939401,163930.52123738464,126188.08461961788,99646
2022-02-08,0,514245.8946574239,222145.49217872438,161908.86680286008,130191.53567583946,99976
2022-02-09,0,523975.67495907645,222331.0782153315,168836.3721171458,132808.22462659908,100752
2022-02-10,0,523127.56612797186,225346.16508095304,165894.79879196617,131886.60225505262,101037
2022-02-11,0,524337.1583293037,225283.15439608012,168453.8350555214,130600.16887770218,100766
2022-02-12,0,512233.5038636825,220216.83605593635,162752.2094325444,129264.4583752018,100636
2022-02-13,0,520268.0640459332,223736.29798065627,168373.74889872223,128158.01716655472,100557
2022-02-14,0,517450.4471906135,222818.8897759247,163316.64766551767,131314.90974917114,99981
2022-02-15,0,521372.5451903696,221632.05655780376,167802.7534756052,131937.73515696064,100373
2022-02-16,0,519064.561274347,225286.82193517216,166595.29782194,127182.44151723484,100514
2022-02-17,0,524005.70328806405,223803.10012007703,165829.1884170529,134373.4147509341,101285
2022-02-18,0,522031.47769133665,223689.73832398624,166419.0957682256,131922.64359912477,100940
2022-02-19,0,520412.45414014923,221035.38005150546,167057.68852629003,132319.3855623537,99899
2022-02-20,0,519136.64847950666,223547.17739036505,167492.50239295402,128096.96869618759,100954
2022-02-21,0,516237.9305562747,220659.51531178734,167946.47661963876,127631.93862484864,100610
2022-02-22,0,520165.242783002,219725.55392232773,170540.7410054765,129898.94785519772,100475
2022-02-23,0,523566.0417498535,227127.7935789032,164454.35457227434,131983.893598676,101130
2022-02-24,0,528692.9515882875,222705.51977221726,171158.0065306165,134829.42528545368,101349
2022-02-25,0,523044.42408359016,222360.8418651716,168085.79938012327,132597.7828382953,101310
2022-02-26,0,512728.7626493511,218306.54947903176,164777.28505629054,129644.92811402884,100434
2022-02-27,0,514643.73460068693,221904.62251055185,164336.7481280871,128402.363962048,100708
2022-02-28,0,521649.7636708844,221217.0901312181,167125.41053084456,133307.26300882178,101038
2022-03-01,0,526995.3638932735,227829.52556365688,169854.4783757055,129311.35995391113,101369
2022-03-02,0,525466.5741890187,225146.85130913084,166688.3549314147,133631.36794847314,100650
2022-03-03,0,522277.1872246539,222080.12938656262,170208.78358268316,129988.27425540809,100805
2022-03-04,0,523880.2610312387,227074.00054200087,163614.8858460649,133191.37464317292,100352
