user_id,speed,conversion,device_type,device_age,region,query_complexity,results_count
245487,2.7506318441791096,0,ios,new,bukhara,5,76
147916,2.8481617119626534,1,android,new,bukhara,3,78
740659,3.534080652649339,0,android,old,bukhara,2,94
854907,1.759467319911405,0,android,new,tashkent,3,45
819644,1.3113046017257375,0,android,new,tashkent,2,35
649394,1.8432349080503267,0,android,old,tashkent,5,7
660296,1.5621260585261734,0,android,old,tashkent,3,6
793480,2.800926459508223,0,android,old,tashkent,3,75
68224,2.6366300016586743,1,ios,new,tashkent,4,84
24130,1.183791752861611,0,ios,new,bukhara,1,47
927809,2.0322342102856217,0,android,old,samarkand,4,24
713849,1.428537958495115,0,ios,old,samarkand,3,9
707089,1.6167543719622786,0,android,new,samarkand,2,50
877430,2.0488884550562143,0,android,new,samarkand,1,86
551552,1.4566126364747123,0,ios,old,samarkand,1,33
737219,1.8510749870942527,1,android,old,tashkent,2,30
477843,1.9712469148193388,0,android,new,bukhara,4,25
69239,2.9470022451770435,0,android,old,samarkand,2,81
836326,3.3301956126092467,0,android,old,bukhara,2,79
718269,0.6021154014645738,0,ios,new,samarkand,1,21
337440,0.8091985126905237,0,ios,new,samarkand,3,16
341818,0.6576517239532492,0,android,new,tashkent,3,10
98160,3.1323806699004684,0,android,new,bukhara,5,93
502178,1.160360767239527,0,ios,new,samarkand,2,34
143520,2.006783963587546,0,android,new,samarkand,3,45
162770,0.8119960346524866,0,ios,new,samarkand,1,28
31178,1.1214397051589182,0,ios,new,tashkent,1,47
539240,0.6928741416397388,0,ios,new,samarkand,2,8
118792,1.7204580704307455,0,ios,old,tashkent,2,46
472388,1.5940575126760985,0,android,new,bukhara,4,19
560216,3.248405429503573,0,android,old,bukhara,3,83
512693,1.4136595254071964,0,android,new,tashkent,4,52
175923,2.464111655581643,0,android,old,bukhara,3,15
332472,1.345849620686845,0,ios,new,bukhara,2,41
483741,2.0312551424777703,0,ios,old,bukhara,2,36
275837,1.412499566485995,0,android,new,tashkent,3,49
849518,0.865807980469685,0,android,new,tashkent,1,25
840919,1.135432897862216,0,ios,new,samarkand,3,61
541960,3.688311002841936,0,android,old,bukhara,5,71
198709,1.3437889728961747,0,android,old,samarkand,1,17
908836,1.590214605551588,0,ios,new,bukhara,1,50
222086,1.771958709215016,0,ios,new,bukhara,3,50
431021,2.1538717684307906,0,ios,old,tashkent,1,71
879930,0.8556698540271832,0,ios,new,tashkent,1,55
794601,0.9711148902934514,0,ios,old,samarkand,1,16
88946,3.6060763910727025,0,android,old,bukhara,3,87
234836,2.810927356358917,0,android,new,tashkent,3,97
794774,1.421155022298764,0,ios,old,samarkand,1,10
824055,1.7487223630064967,0,android,new,tashkent,5,50
888874,1.7461847948970115,0,ios,old,bukhara,2,16
635475,1.433804832258697,0,android,new,samarkand,5,12
140241,2.572259738854999,0,ios,old,tashkent,5,67
429989,2.189488429612209,0,android,old,samarkand,1,44
264179,1.7839888961590276,0,ios,new,samarkand,3,48
350325,2.8998647831255635,0,android,old,tashkent,2,73
52750,1.3292610194324062,0,ios,old,tashkent,3,24
110344,2.033478742555794,0,android,old,tashkent,1,52
478576,1.7922906068452578,0,android,new,samarkand,5,49
256782,1.7027103386076041,0,android,old,tashkent,5,5
196406,3.293500608515459,0,android,old,bukhara,2,68
972318,2.004326603501469,0,android,new,tashkent,5,61
859752,3.229472705131358,0,android,old,bukhara,1,78
397659,2.350535805658101,0,android,old,samarkand,3,43
66246,2.5671435507007536,0,ios,new,samarkand,3,98
767300,2.898594606851821,0,android,old,samarkand,5,79
644696,1.6138578851051961,0,ios,new,tashkent,1,70
704134,2.5007936146299587,0,ios,new,bukhara,4,94
622515,1.5305205947720406,0,ios,new,bukhara,5,32
808293,1.8200459936390494,0,android,new,tashkent,3,78
879449,2.918709477955465,0,android,old,tashkent,2,76
957519,2.9808460933017753,1,android,old,bukhara,4,62
607375,1.1960822246176823,0,android,new,tashkent,1,50
846241,2.3060706149780885,0,ios,new,bukhara,1,55
53730,1.9788879519118039,0,android,new,bukhara,4,63
705738,2.028639715181466,0,ios,new,tashkent,5,61
148543,2.7082489773953826,0,android,new,bukhara,5,99
694738,2.6805083838054955,0,android,old,samarkand,4,44
34689,1.6706160043557825,0,ios,new,tashkent,4,64
923996,1.985109155717325,0,ios,old,samarkand,3,45
187638,2.0409369851082966,0,android,new,samarkand,2,82
896087,0.06284851337852387,0,ios,new,tashkent,1,14
962830,2.8959431918937337,0,android,old,tashkent,3,63
66265,1.8045703020654877,0,android,new,samarkand,4,37
371746,0.41322348136198084,1,ios,new,tashkent,5,5
261849,2.141473125304816,0,ios,old,bukhara,3,25
33800,1.1520206304837786,0,android,new,tashkent,3,33
858523,1.1935812221297892,0,ios,new,bukhara,3,21
297379,1.7743412441921396,0,android,old,tashkent,3,6
390556,2.6951202080253975,0,android,new,bukhara,3,75
209433,0.797665769936176,0,ios,new,tashkent,4,21
635138,1.634130254396177,0,ios,new,tashkent,1,84
855818,1.4549856836260808,0,ios,new,bukhara,5,13
870772,0.9775492809965162,0,android,new,tashkent,2,39
572055,1.3626853574599376,0,android,new,bukhara,5,6
379850,1.5955000986188057,0,ios,new,tashkent,2,83
14416,2.573265921030582,1,android,new,samarkand,5,54
310402,1.9797497915147613,0,ios,new,samarkand,3,68
312803,2.6039072037885878,0,android,new,bukhara,4,57
876903,2.9614934932437063,0,ios,old,bukhara,5,50
719237,1.7789053938876591,1,android,new,tashkent,3,57
267950,2.882884626525383,1,ios,old,samarkand,3,88
57977,2.134032084002804,0,android,new,tashkent,1,79
903611,1.8060957695130904,0,android,new,bukhara,3,27
423417,1.3360296707295645,0,android,new,tashkent,1,41
168977,1.0692924155624077,0,ios,old,samarkand,1,9
249992,1.719674474058111,0,android,new,tashkent,5,24
371453,1.6447096349830719,0,ios,new,samarkand,4,55
465956,2.40670154608207,0,ios,new,bukhara,5,70
941924,2.6690395963273885,0,ios,old,bukhara,2,76
659956,2.9940851341389094,0,android,old,tashkent,2,71
796621,1.5720001459531858,0,ios,new,samarkand,1,61
631664,2.4912219729897527,0,ios,old,tashkent,5,64
528252,3.6685039107864656,0,android,old,bukhara,2,99
216474,2.001986093280782,0,android,old,samarkand,3,36
665228,1.9940320495770083,0,android,old,tashkent,2,31
968418,2.1866438655805878,0,ios,old,bukhara,5,47
148918,2.9075461780073484,0,android,old,samarkand,3,83
678733,1.82965119802944,0,android,old,tashkent,3,24
812712,2.9774846234482424,0,ios,old,bukhara,2,57
955312,1.8042032833079293,0,ios,old,samarkand,4,35
301752,1.8843778908771063,0,android,old,bukhara,1,24
544893,2.3916715988257713,0,ios,new,bukhara,2,88
631043,1.1217464212043322,0,android,new,bukhara,4,20
