user_id,platform,region,age,onboarding_completed,levels_passed
245487,android,tier2,33.0,1,17
147916,android,tier2,36.0,1,17
740659,android,tier2,32.0,1,30
854907,ios,tier1,35.0,1,32
819644,pc,tier3,18.0,1,27
649394,ios,tier3,33.0,1,27
660296,android,tier1,22.0,1,33
793480,ios,tier1,24.0,1,36
68224,ios,tier1,35.0,1,25
24130,ios,tier2,30.0,0,26
927809,ios,tier1,36.0,1,22
713849,android,tier3,31.0,0,1
707089,android,tier1,25.0,1,27
877430,pc,tier2,28.0,0,16
551552,android,tier1,47.0,0,28
737219,ios,tier2,32.0,1,25
477843,android,tier1,34.0,1,28
69239,android,tier3,28.0,1,21
836326,android,tier1,27.0,1,21
718269,ios,tier2,22.0,0,16
337440,android,tier3,38.0,0,17
341818,android,tier3,26.0,0,14
98160,android,tier2,29.0,1,21
502178,android,tier2,21.0,1,20
143520,pc,tier3,19.0,1,28
162770,ios,tier2,33.0,1,31
31178,android,tier2,30.0,0,6
539240,ios,tier1,34.0,1,22
118792,ios,tier1,38.0,1,32
472388,pc,tier3,31.0,1,16
560216,pc,tier2,24.0,0,19
512693,android,tier2,26.0,0,15
175923,android,tier1,34.0,1,21
332472,ios,tier1,26.0,0,31
483741,ios,tier3,16.0,0,20
275837,ios,tier2,42.0,1,34
849518,ios,tier2,24.0,1,28
840919,android,tier3,26.0,1,21
541960,android,tier2,46.0,1,20
198709,pc,tier2,28.0,0,10
908836,pc,tier2,41.0,0,12
222086,pc,tier2,31.0,0,17
431021,ios,tier1,19.0,1,24
879930,android,tier2,28.0,0,8
794601,android,tier2,30.0,1,31
88946,ios,tier2,26.0,1,28
234836,pc,tier3,29.0,0,9
794774,android,tier1,25.0,1,28
824055,android,tier1,40.0,1,21
888874,ios,tier2,49.0,0,23
635475,ios,tier3,40.0,0,13
140241,pc,tier1,47.0,0,11
429989,pc,tier3,24.0,0,10
264179,ios,tier1,29.0,1,26
350325,android,tier1,36.0,1,30
52750,android,tier2,22.0,0,11
110344,android,tier2,32.0,1,28
478576,pc,tier2,24.0,0,7
256782,android,tier2,39.0,1,35
196406,pc,tier2,42.0,0,8
972318,ios,tier3,33.0,1,26
859752,pc,tier2,34.0,0,17
397659,pc,tier1,42.0,1,17
66246,ios,tier2,38.0,1,20
767300,ios,tier2,28.0,0,23
644696,android,tier1,36.0,1,27
704134,pc,tier3,29.0,0,7
622515,ios,tier1,25.0,1,30
808293,android,tier3,25.0,1,29
879449,android,tier3,31.0,0,9
957519,ios,tier2,34.0,1,28
607375,pc,tier3,24.0,0,12
846241,pc,tier1,33.0,1,21
53730,ios,tier3,38.0,0,13
705738,pc,tier1,28.0,1,27
148543,ios,tier3,36.0,0,15
694738,ios,tier1,39.0,1,33
34689,ios,tier1,33.0,1,28
923996,ios,tier3,18.0,1,29
187638,android,tier3,38.0,0,14
896087,ios,tier2,30.0,1,25
962830,android,tier2,26.0,0,14
66265,ios,tier1,19.0,1,31
371746,android,tier3,27.0,0,10
261849,ios,tier1,31.0,1,32
33800,android,tier1,36.0,1,20
858523,ios,tier1,46.0,1,31
297379,ios,tier2,32.0,1,25
390556,android,tier3,17.0,1,12
209433,ios,tier3,24.0,0,12
635138,android,tier3,46.0,0,7
855818,android,tier2,34.0,0,15
870772,android,tier1,42.0,0,20
572055,ios,tier2,43.0,1,23
379850,android,tier2,34.0,1,22
14416,ios,tier2,30.0,1,30
310402,ios,tier2,47.0,1,28
312803,ios,tier1,26.0,0,26
876903,android,tier2,37.0,1,18
719237,pc,tier2,19.0,0,18
267950,pc,tier1,32.0,0,13
57977,ios,tier3,32.0,1,27
903611,android,tier2,33.0,1,26
423417,ios,tier3,26.0,0,23
168977,pc,tier2,32.0,0,18
249992,pc,tier2,25.0,0,15
371453,pc,tier2,30.0,0,6
465956,android,tier3,35.0,1,15
941924,ios,tier2,20.0,1,26
659956,ios,tier2,29.0,0,23
796621,ios,tier3,36.0,1,26
631664,ios,tier3,44.0,1,19
528252,ios,tier2,28.0,1,21
216474,ios,tier2,18.0,1,32
665228,ios,tier1,26.0,1,27
968418,android,tier2,41.0,1,29
148918,ios,tier3,37.0,1,23
678733,android,tier2,20.0,0,18
812712,ios,tier2,44.0,0,14
955312,ios,tier1,21.0,0,22
301752,pc,tier1,35.0,1,21
544893,pc,tier2,25.0,0,19
631043,android,tier3,36.0,0,10
647914,android,tier2,38.0,0,7
378998,android,tier2,32.0,1,19
471995,pc,tier1,37.0,0,13
764033,android,tier3,21.0,1,26
396029,android,tier2,41.0,0,14
291730,ios,tier2,25.0,1,28
827113,ios,tier2,22.0,1,36
270774,pc,tier2,28.0,0,15
521920,android,tier2,18.0,1,31
256441,android,tier2,17.0,1,33
27054,pc,tier1,29.0,0,16
239954,ios,tier1,26.0,0,22
493751,android,tier1,29.0,0,20
88004,android,tier1,21.0,1,24
490643,android,tier2,42.0,0,16
489230,ios,tier3,18.0,1,28
667339,ios,tier3,25.0,1,20
260032,android,tier2,22.0,0,26
885314,ios,tier1,34.0,1,27
109758,pc,tier2,28.0,0,11
300860,ios,tier3,21.0,1,25
900659,ios,tier1,33.0,1,26
459243,ios,tier3,29.0,1,30
716277,ios,tier3,41.0,0,20
818385,pc,tier3,27.0,0,9
924887,android,tier3,32.0,1,14
98893,android,tier3,25.0,0,18
244971,android,tier2,15.0,1,31
23996,ios,tier2,22.0,0,30
960308,pc,tier3,32.0,0,5
852159,android,tier1,31.0,0,25
414651,android,tier3,40.0,1,21
183591,pc,tier3,26.0,0,16
747834,android,tier2,22.0,1,23
44204,ios,tier1,32.0,1,30
253629,ios,tier1,45.0,1,27
350985,ios,tier1,29.0,1,25
28090,android,tier1,24.0,1,22
325193,android,tier2,27.0,0,7
129370,pc,tier2,22.0,0,10
440710,ios,tier3,37.0,0,6
337804,ios,tier2,11.0,1,36
214157,ios,tier1,32.0,0,19
482187,pc,tier2,31.0,1,14
696775,pc,tier1,10.0,1,16
649098,android,tier1,27.0,1,33
354115,android,tier2,37.0,0,13
142583,pc,tier3,21.0,1,15
729342,android,tier1,30.0,0,19
574284,pc,tier3,36.0,0,6
183455,ios,tier2,22.0,1,29
842223,ios,tier2,24.0,1,21
871424,android,tier2,27.0,1,34
253108,android,tier3,32.0,0,8
835517,ios,tier3,23.0,1,29
917644,ios,tier3,21.0,1,25
699990,ios,tier3,28.0,1,23
723996,ios,tier1,39.0,1,30
561924,pc,tier3,31.0,0,7
453135,android,tier1,34.0,1,22
151695,android,tier3,19.0,0,16
695949,ios,tier1,31.0,1,25
144000,ios,tier1,18.0,1,31
290212,ios,tier2,31.0,1,27
561319,android,tier2,27.0,1,26
662560,ios,tier2,32.0,0,21
