customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00000,Female,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),22.05,23.01,No
C00001,Male,1,No,No,0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),23.01, ,Yes
C00002,Female,0,No,No,61,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,74.22,4746.13,No
C00003,Female,0,Yes,No,9,No,No phone service,DSL,No,No,No,No,No,Yes,One year,Yes,Credit card (automatic),26.4,247.82,No
C00004,Male,1,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Two year,Yes,Electronic check,85.44,4635.11,No
C00005,Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.32,1313.8,No
C00006,Female,0,No,No,70,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Electronic check,80.08,5454.77,No
C00007,Female,0,No,No,14,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,18.0,251.27,No
C00008,Male,0,No,No,35,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,23.98,788.8,Yes
C00009,Male,0,No,No,69,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),56.44,3437.86,Yes
C00010,Male,0,No,No,65,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Electronic check,94.7,5926.15,No
C00011,Female,1,No,No,26,No,No phone service,Fiber optic,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),69.26,1626.49,No
